Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
January 31 2017,Juneau,AK,Passenger,0,1,1,57,58,1.72
January 31 2017,Dale,AL,Passenger,0,1,1,66,67,1.49
January 31 2017,Lee,AL,Passenger,1,0,1,37,38,2.63
January 31 2017,Maricopa,AZ,Passenger,3,1,4,1935,1939,0.21
January 31 2017,Pima,AZ,Passenger,0,2,2,454,456,0.44
January 31 2017,Pinal,AZ,Passenger,2,0,2,263,265,0.75
January 31 2017,Yavapai,AZ,Passenger,1,0,1,82,83,1.20
January 31 2017,Alameda,CA,Passenger,6,1,7,391,398,1.76
January 31 2017,Contra Costa,CA,Passenger,1,0,1,700,701,0.14
January 31 2017,Los Angeles,CA,Passenger,2,1,3,1470,1473,0.20
January 31 2017,Marin,CA,Passenger,1,0,1,56,57,1.75
January 31 2017,Monterey,CA,Passenger,0,1,1,236,237,0.42
January 31 2017,Orange,CA,Passenger,2,1,3,697,700,0.43
January 31 2017,Riverside,CA,Passenger,0,1,1,875,876,0.11
January 31 2017,San Diego,CA,Passenger,4,2,6,2895,2901,0.21
January 31 2017,San Mateo,CA,Passenger,0,1,1,178,179,0.56
January 31 2017,Santa Barbara,CA,Passenger,0,1,1,131,132,0.76
January 31 2017,Santa Clara,CA,Passenger,5,3,8,456,464,1.72
January 31 2017,Tulare,CA,Passenger,1,0,1,205,206,0.49
January 31 2017,Ventura,CA,Passenger,0,2,2,394,396,0.51
January 31 2017,El Paso,CO,Passenger,1,1,2,883,885,0.23
January 31 2017,New Haven,CT,Passenger,0,1,1,66,67,1.49
January 31 2017,New London,CT,Passenger,2,1,3,280,283,1.06
January 31 2017,District of Columbia,DC,Passenger,0,3,3,234,237,1.27
January 31 2017,Collier,FL,Passenger,0,1,1,21,22,4.55
January 31 2017,Duval,FL,Passenger,1,1,2,375,377,0.53
January 31 2017,Manatee,FL,Passenger,1,0,1,58,59,1.69
January 31 2017,Marion,FL,Passenger,1,0,1,26,27,3.70
January 31 2017,Okaloosa,FL,Passenger,1,0,1,185,186,0.54
January 31 2017,Orange,FL,Passenger,0,1,1,158,159,0.63
January 31 2017,Polk,FL,Passenger,1,0,1,64,65,1.54
January 31 2017,St. Lucie,FL,Passenger,1,0,1,30,31,3.23
January 31 2017,Sumter,FL,Passenger,0,1,1,10,11,9.09
January 31 2017,Volusia,FL,Passenger,0,1,1,48,49,2.04
January 31 2017,Cobb,GA,Passenger,0,1,1,78,79,1.27
January 31 2017,DeKalb,GA,Passenger,1,0,1,90,91,1.10
January 31 2017,Fulton,GA,Passenger,1,2,3,134,137,2.19
January 31 2017,Gwinnett,GA,Passenger,0,1,1,95,96,1.04
January 31 2017,Muscogee,GA,Passenger,0,1,1,267,268,0.37
January 31 2017,Richmond,GA,Passenger,0,1,1,106,107,0.93
January 31 2017,Honolulu,HI,Passenger,4,1,5,666,671,0.75
January 31 2017,Maui,HI,Passenger,1,0,1,82,83,1.20
January 31 2017,Canyon,ID,Passenger,0,1,1,115,116,0.86
January 31 2017,Latah,ID,Passenger,0,1,1,140,141,0.71
January 31 2017,Madison,ID,Passenger,1,0,1,47,48,2.08
January 31 2017,Shoshone,ID,Passenger,0,1,1,99,100,1.00
January 31 2017,Lake,IL,Passenger,1,0,1,190,191,0.52
January 31 2017,DeKalb,IN,Passenger,1,0,1,1,2,50.00
January 31 2017,Hamilton,IN,Passenger,1,0,1,72,73,1.37
January 31 2017,Hardin,KY,Passenger,0,1,1,128,129,0.78
January 31 2017,Orleans,LA,Passenger,0,1,1,53,54,1.85
January 31 2017,Franklin,MA,Passenger,0,1,1,5,6,16.67
January 31 2017,Middlesex,MA,Passenger,1,0,1,161,162,0.62
January 31 2017,Nantucket,MA,Passenger,1,0,1,3,4,25.00
January 31 2017,Norfolk,MA,Passenger,1,0,1,38,39,2.56
January 31 2017,Anne Arundel,MD,Passenger,0,1,1,518,519,0.19
January 31 2017,Charles,MD,Passenger,0,1,1,89,90,1.11
January 31 2017,Howard,MD,Passenger,0,2,2,91,93,2.15
January 31 2017,Montgomery,MD,Passenger,1,0,1,313,314,0.32
January 31 2017,Prince George's,MD,Passenger,0,1,1,192,193,0.52
January 31 2017,St. Mary's,MD,Passenger,0,1,1,203,204,0.49
January 31 2017,Wayne,MI,Passenger,0,2,2,80,82,2.44
January 31 2017,Dakota,MN,Passenger,0,1,1,44,45,2.22
January 31 2017,Jackson,MO,Passenger,1,0,1,73,74,1.35
January 31 2017,Cascade,MT,Passenger,0,1,1,60,61,1.64
January 31 2017,Cumberland,NC,Passenger,1,0,1,646,647,0.15
January 31 2017,Durham,NC,Passenger,0,1,1,38,39,2.56
January 31 2017,Guilford,NC,Passenger,1,0,1,34,35,2.86
January 31 2017,Harnett,NC,Passenger,1,0,1,280,281,0.36
January 31 2017,Moore,NC,Passenger,0,1,1,211,212,0.47
January 31 2017,Carroll,NH,Passenger,0,1,1,0,1,100.00
January 31 2017,Bergen,NJ,Passenger,0,2,2,34,36,5.56
January 31 2017,Essex,NJ,Passenger,1,0,1,15,16,6.25
January 31 2017,Morris,NJ,Passenger,1,0,1,23,24,4.17
January 31 2017,Santa Fe,NM,Passenger,0,1,1,43,44,2.27
January 31 2017,Clark,NV,Passenger,1,4,5,918,923,0.54
January 31 2017,Jefferson,NY,Passenger,1,1,2,251,253,0.79
January 31 2017,Lewis,NY,Passenger,0,1,1,10,11,9.09
January 31 2017,Monroe,NY,Passenger,1,0,1,29,30,3.33
January 31 2017,Saratoga,NY,Passenger,1,1,2,82,84,2.38
January 31 2017,Union,OH,Passenger,1,0,1,4,5,20.00
January 31 2017,Oklahoma,OK,Passenger,0,1,1,210,211,0.47
January 31 2017,Clackamas,OR,Passenger,1,2,3,425,428,0.70
January 31 2017,Deschutes,OR,Passenger,1,1,2,234,236,0.85
January 31 2017,Douglas,OR,Passenger,0,1,1,90,91,1.10
January 31 2017,Hood River,OR,Passenger,1,0,1,42,43,2.33
January 31 2017,Lane,OR,Passenger,0,1,1,288,289,0.35
January 31 2017,Marion,OR,Passenger,1,0,1,237,238,0.42
January 31 2017,Multnomah,OR,Passenger,0,3,3,1268,1271,0.24
January 31 2017,Allegheny,PA,Passenger,1,0,1,93,94,1.06
January 31 2017,Northampton,PA,Passenger,2,0,2,260,262,0.76
January 31 2017,Newport,RI,Passenger,1,0,1,119,120,0.83
January 31 2017,Hamilton,TN,Passenger,1,0,1,26,27,3.70
January 31 2017,Montgomery,TN,Passenger,1,0,1,307,308,0.32
January 31 2017,Shelby,TN,Passenger,0,1,1,114,115,0.87
January 31 2017,Bexar,TX,Passenger,3,3,6,1250,1256,0.48
January 31 2017,Dallas,TX,Passenger,1,0,1,223,224,0.45
January 31 2017,El Paso,TX,Passenger,0,1,1,595,596,0.17
January 31 2017,Hidalgo,TX,Passenger,0,1,1,97,98,1.02
January 31 2017,Tarrant,TX,Passenger,0,2,2,333,335,0.60
January 31 2017,Travis,TX,Passenger,0,1,1,214,215,0.47
January 31 2017,Salt Lake,UT,Passenger,0,1,1,351,352,0.28
January 31 2017,Utah,UT,Passenger,0,1,1,190,191,0.52
January 31 2017,Arlington,VA,Passenger,1,1,2,179,181,1.10
January 31 2017,Fairfax,VA,Passenger,2,2,4,893,897,0.45
January 31 2017,Loudoun,VA,Passenger,0,1,1,86,87,1.15
January 31 2017,Manassas,VA,Passenger,0,1,1,8,9,11.11
January 31 2017,Norfolk,VA,Passenger,1,1,2,305,307,0.65
January 31 2017,Portsmouth,VA,Passenger,0,1,1,60,61,1.64
January 31 2017,Prince William,VA,Passenger,0,3,3,277,280,1.07
January 31 2017,Virginia Beach,VA,Passenger,2,1,3,658,661,0.45
January 31 2017,Adams,WA,Truck,0,0,0,5076,5076,0.00
January 31 2017,Adams,WA,Passenger,1,1,2,12176,12178,0.02
January 31 2017,Asotin,WA,Passenger,4,3,7,12320,12327,0.06
January 31 2017,Asotin,WA,Truck,0,0,0,6490,6490,0.00
January 31 2017,Benton,WA,Truck,0,0,0,39815,39815,0.00
January 31 2017,Benton,WA,Passenger,129,129,258,127871,128129,0.20
January 31 2017,Chelan,WA,Truck,0,0,0,21265,21265,0.00
January 31 2017,Chelan,WA,Passenger,54,28,82,51907,51989,0.16
January 31 2017,Clallam,WA,Truck,0,0,0,21047,21047,0.00
January 31 2017,Clallam,WA,Passenger,73,64,137,48008,48145,0.28
January 31 2017,Clark,WA,Passenger,673,426,1099,297846,298945,0.37
January 31 2017,Clark,WA,Truck,0,0,0,77522,77522,0.00
January 31 2017,Columbia,WA,Passenger,0,1,1,2332,2333,0.04
January 31 2017,Columbia,WA,Truck,0,0,0,1543,1543,0.00
January 31 2017,Cowlitz,WA,Passenger,51,44,95,69121,69216,0.14
January 31 2017,Cowlitz,WA,Truck,0,0,0,27955,27955,0.00
January 31 2017,Douglas,WA,Passenger,29,19,48,26573,26621,0.18
January 31 2017,Douglas,WA,Truck,0,0,0,11428,11428,0.00
January 31 2017,Ferry,WA,Truck,0,0,0,3582,3582,0.00
January 31 2017,Ferry,WA,Passenger,2,1,3,4387,4390,0.07
January 31 2017,Franklin,WA,Truck,0,0,0,17911,17911,0.00
January 31 2017,Franklin,WA,Passenger,27,42,69,55410,55479,0.12
January 31 2017,Garfield,WA,Passenger,0,0,0,1285,1285,0.00
January 31 2017,Garfield,WA,Truck,0,0,0,941,941,0.00
January 31 2017,Grant,WA,Truck,0,0,0,25040,25040,0.00
January 31 2017,Grant,WA,Passenger,16,21,37,60402,60439,0.06
January 31 2017,Grays Harbor,WA,Passenger,27,24,51,44309,44360,0.11
January 31 2017,Grays Harbor,WA,Truck,0,0,0,19861,19861,0.00
January 31 2017,Island,WA,Passenger,103,119,222,59417,59639,0.37
January 31 2017,Island,WA,Truck,1,0,1,20515,20516,0.00
January 31 2017,Jefferson,WA,Passenger,87,53,140,23615,23755,0.59
January 31 2017,Jefferson,WA,Truck,0,0,0,9470,9470,0.00
January 31 2017,King,WA,Passenger,8805,3626,12431,1387685,1400116,0.89
January 31 2017,King,WA,Truck,8,1,9,191123,191132,0.00
January 31 2017,Kitsap,WA,Passenger,556,264,820,172432,173252,0.47
January 31 2017,Kitsap,WA,Truck,1,0,1,52397,52398,0.00
January 31 2017,Kittitas,WA,Truck,0,0,0,13416,13416,0.00
January 31 2017,Kittitas,WA,Passenger,15,16,31,27164,27195,0.11
January 31 2017,Klickitat,WA,Passenger,20,22,42,14795,14837,0.28
January 31 2017,Klickitat,WA,Truck,0,0,0,7945,7945,0.00
January 31 2017,Lewis,WA,Passenger,43,30,73,54965,55038,0.13
January 31 2017,Lewis,WA,Truck,0,0,0,24792,24792,0.00
January 31 2017,Lincoln,WA,Passenger,2,4,6,7543,7549,0.08
January 31 2017,Lincoln,WA,Truck,0,0,0,4461,4461,0.00
January 31 2017,Mason,WA,Truck,0,0,0,19191,19191,0.00
January 31 2017,Mason,WA,Passenger,48,57,105,42815,42920,0.24
January 31 2017,Okanogan,WA,Truck,0,0,0,16377,16377,0.00
January 31 2017,Okanogan,WA,Passenger,3,15,18,25816,25834,0.07
January 31 2017,Pacific,WA,Passenger,5,6,11,15034,15045,0.07
January 31 2017,Pacific,WA,Truck,0,0,0,7511,7511,0.00
January 31 2017,Pend Oreille,WA,Passenger,1,4,5,9348,9353,0.05
January 31 2017,Pend Oreille,WA,Truck,0,0,0,5591,5591,0.00
January 31 2017,Pierce,WA,Truck,0,0,0,138791,138791,0.00
January 31 2017,Pierce,WA,Passenger,822,750,1572,528435,530007,0.30
January 31 2017,San Juan,WA,Truck,0,0,0,5598,5598,0.00
January 31 2017,San Juan,WA,Passenger,84,31,115,13347,13462,0.85
January 31 2017,Skagit,WA,Truck,1,0,1,31409,31410,0.00
January 31 2017,Skagit,WA,Passenger,106,81,187,87462,87649,0.21
January 31 2017,Skamania,WA,Truck,0,0,0,3906,3906,0.00
January 31 2017,Skamania,WA,Passenger,7,7,14,8550,8564,0.16
January 31 2017,Snohomish,WA,Passenger,1548,804,2352,515062,517414,0.45
January 31 2017,Snohomish,WA,Truck,1,0,1,122837,122838,0.00
January 31 2017,Spokane,WA,Passenger,221,195,416,296065,296481,0.14
January 31 2017,Spokane,WA,Truck,1,0,1,90445,90446,0.00
January 31 2017,Stevens,WA,Passenger,6,21,27,31531,31558,0.09
January 31 2017,Stevens,WA,Truck,0,0,0,18342,18342,0.00
January 31 2017,Thurston,WA,Truck,0,0,0,53352,53352,0.00
January 31 2017,Thurston,WA,Passenger,336,299,635,185015,185650,0.34
January 31 2017,Wahkiakum,WA,Truck,0,0,0,1624,1624,0.00
January 31 2017,Wahkiakum,WA,Passenger,0,1,1,2861,2862,0.03
January 31 2017,Walla Walla,WA,Truck,0,0,0,13169,13169,0.00
January 31 2017,Walla Walla,WA,Passenger,16,21,37,34877,34914,0.11
January 31 2017,Whatcom,WA,Passenger,385,141,526,141908,142434,0.37
January 31 2017,Whatcom,WA,Truck,2,0,2,41342,41344,0.00
January 31 2017,Whitman,WA,Truck,0,0,0,8404,8404,0.00
January 31 2017,Whitman,WA,Passenger,8,19,27,21947,21974,0.12
January 31 2017,Yakima,WA,Passenger,36,49,85,159949,160034,0.05
January 31 2017,Yakima,WA,Truck,0,0,0,57340,57340,0.00
January 31 2017,Brown,WI,Passenger,1,0,1,46,47,2.13
January 31 2017,Dane,WI,Passenger,1,0,1,191,192,0.52
January 31 2017,,,Passenger,2,0,2,312,314,0.64
February 28 2017,Juneau,AK,Passenger,0,1,1,54,55,1.82
February 28 2017,Dale,AL,Passenger,0,1,1,64,65,1.54
February 28 2017,Lee,AL,Passenger,1,0,1,36,37,2.70
February 28 2017,Maricopa,AZ,Passenger,3,1,4,1815,1819,0.22
February 28 2017,Pima,AZ,Passenger,0,2,2,427,429,0.47
February 28 2017,Pinal,AZ,Passenger,2,0,2,244,246,0.81
February 28 2017,Alameda,CA,Passenger,3,1,4,382,386,1.04
February 28 2017,Contra Costa,CA,Passenger,1,0,1,671,672,0.15
February 28 2017,Los Angeles,CA,Passenger,2,1,3,1374,1377,0.22
February 28 2017,Marin,CA,Passenger,1,0,1,58,59,1.69
February 28 2017,Monterey,CA,Passenger,0,1,1,228,229,0.44
February 28 2017,Orange,CA,Passenger,2,1,3,671,674,0.45
February 28 2017,Riverside,CA,Passenger,0,1,1,830,831,0.12
February 28 2017,San Diego,CA,Passenger,4,1,5,2820,2825,0.18
February 28 2017,San Mateo,CA,Passenger,0,1,1,166,167,0.60
February 28 2017,Santa Clara,CA,Passenger,5,3,8,420,428,1.87
February 28 2017,Tulare,CA,Passenger,1,0,1,202,203,0.49
February 28 2017,Ventura,CA,Passenger,0,2,2,378,380,0.53
February 28 2017,El Paso,CO,Passenger,1,1,2,843,845,0.24
February 28 2017,New Haven,CT,Passenger,0,1,1,62,63,1.59
February 28 2017,New London,CT,Passenger,2,1,3,275,278,1.08
February 28 2017,District of Columbia,DC,Passenger,0,3,3,227,230,1.30
February 28 2017,Duval,FL,Passenger,1,1,2,367,369,0.54
February 28 2017,Manatee,FL,Passenger,1,0,1,54,55,1.82
February 28 2017,Okaloosa,FL,Passenger,1,0,1,186,187,0.53
February 28 2017,Orange,FL,Passenger,1,1,2,152,154,1.30
February 28 2017,Polk,FL,Passenger,1,0,1,65,66,1.52
February 28 2017,St. Lucie,FL,Passenger,1,0,1,28,29,3.45
February 28 2017,Sumter,FL,Passenger,0,1,1,10,11,9.09
February 28 2017,Volusia,FL,Passenger,0,1,1,46,47,2.13
February 28 2017,Cobb,GA,Passenger,0,1,1,76,77,1.30
February 28 2017,DeKalb,GA,Passenger,1,0,1,83,84,1.19
February 28 2017,Fulton,GA,Passenger,1,1,2,126,128,1.56
February 28 2017,Gwinnett,GA,Passenger,0,1,1,88,89,1.12
February 28 2017,Muscogee,GA,Passenger,0,1,1,258,259,0.39
February 28 2017,Richmond,GA,Passenger,0,1,1,104,105,0.95
February 28 2017,Honolulu,HI,Passenger,4,1,5,629,634,0.79
February 28 2017,Maui,HI,Passenger,1,0,1,71,72,1.39
February 28 2017,Canyon,ID,Passenger,0,1,1,105,106,0.94
February 28 2017,Latah,ID,Passenger,0,1,1,129,130,0.77
February 28 2017,Madison,ID,Passenger,1,0,1,43,44,2.27
February 28 2017,Shoshone,ID,Passenger,0,1,1,82,83,1.20
February 28 2017,DeKalb,IN,Passenger,1,0,1,1,2,50.00
February 28 2017,Hamilton,IN,Passenger,1,0,1,66,67,1.49
February 28 2017,Hardin,KY,Passenger,0,1,1,129,130,0.77
February 28 2017,Orleans,LA,Passenger,0,1,1,52,53,1.89
February 28 2017,Franklin,MA,Passenger,0,1,1,4,5,20.00
February 28 2017,Middlesex,MA,Passenger,1,0,1,158,159,0.63
February 28 2017,Nantucket,MA,Passenger,1,0,1,3,4,25.00
February 28 2017,Norfolk,MA,Passenger,1,0,1,35,36,2.78
February 28 2017,Anne Arundel,MD,Passenger,0,1,1,515,516,0.19
February 28 2017,Charles,MD,Passenger,0,1,1,91,92,1.09
February 28 2017,Howard,MD,Passenger,0,2,2,89,91,2.20
February 28 2017,Montgomery,MD,Passenger,1,0,1,305,306,0.33
February 28 2017,Prince George's,MD,Passenger,0,1,1,188,189,0.53
February 28 2017,Wayne,MI,Passenger,0,2,2,72,74,2.70
February 28 2017,Dakota,MN,Passenger,0,1,1,39,40,2.50
February 28 2017,Jackson,MO,Passenger,1,0,1,69,70,1.43
February 28 2017,Cascade,MT,Passenger,0,1,1,57,58,1.72
February 28 2017,Missoula,MT,Passenger,1,0,1,80,81,1.23
February 28 2017,Cumberland,NC,Passenger,1,0,1,635,636,0.16
February 28 2017,Durham,NC,Passenger,0,1,1,37,38,2.63
February 28 2017,Guilford,NC,Passenger,1,0,1,32,33,3.03
February 28 2017,Harnett,NC,Passenger,1,0,1,274,275,0.36
February 28 2017,Moore,NC,Passenger,0,1,1,211,212,0.47
February 28 2017,Carroll,NH,Passenger,0,1,1,0,1,100.00
February 28 2017,Bergen,NJ,Passenger,0,2,2,33,35,5.71
February 28 2017,Essex,NJ,Passenger,1,0,1,15,16,6.25
February 28 2017,Morris,NJ,Passenger,1,0,1,22,23,4.35
