artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
Deftones,Saturday Night Wrist,Cherry Waves,75.0,317706.0,False,0.47,0.859,2.0,-3.663,1.0,0.0537,0.000362,0.00691,0.142,0.17,124.01,4.0,metal
Bethel Music;Kristene DiMarco,You Make Me Brave (Live),It Is Well - Live,62.0,385053.0,False,0.35,0.25,4.0,-10.648,0.0,0.0314,0.698,1.46e-05,0.11,0.11,129.82,4.0,ambient
Dominic Fike;Zendaya,"Elliot's Song (From ""Euphoria"" An HBO Original Series)","Elliot's Song - From ""Euphoria"" An HBO Original Series",70.0,150320.0,False,0.394,0.327,4.0,-14.291,1.0,0.114,0.849,0.0,0.125,0.411,93.358,4.0,alt-rock
Disturbed,Unstoppable,Unstoppable,68.0,238109.0,False,0.529,0.988,1.0,-1.914,1.0,0.0768,7.15e-06,0.0278,0.336,0.336,121.0,4.0,metal
Gracie Abrams,Difficult,Difficult,72.0,257881.0,False,0.599,0.59,2.0,-9.135,1.0,0.0645,0.432,6.54e-06,0.397,0.402,146.022,4.0,indie-pop
Keala Settle;The Greatest Showman Ensemble,This Is Me,This Is Me,66.0,234706.0,False,0.284,0.704,2.0,-7.276,1.0,0.186,0.00583,0.000115,0.0424,0.1,191.702,4.0,show-tunes
BTS,Proof,I NEED U,63.0,210986.0,False,0.482,0.858,5.0,-4.169,0.0,0.069,0.0218,0.0,0.244,0.737,158.075,4.0,k-pop
Fousheé,Deep End,Deep End,69.0,141223.0,True,0.711,0.592,4.0,-7.136,0.0,0.23,0.758,0.0,0.156,0.535,124.749,4.0,indie
Fly By Midnight,Silver Crane,Tomorrow,64.0,185474.0,False,0.568,0.669,2.0,-5.698,1.0,0.037,0.112,0.0,0.115,0.405,149.969,4.0,electro
Martin Garrix;Macklemore;Fall Out Boy,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),74.0,163804.0,True,0.661,0.723,5.0,-6.976,0.0,0.0566,0.179,1.23e-05,0.14,0.316,113.778,4.0,dance
BLACKPINK,BORN PINK,The Happiest Girl,67.0,222025.0,False,0.439,0.352,0.0,-9.632,1.0,0.057,0.587,0.0,0.14,0.548,181.517,3.0,k-pop
Kina,Nobody Cares,Nobody Cares,65.0,175253.0,True,0.653,0.166,4.0,-16.146,0.0,0.0384,0.681,0.484,0.277,0.0718,100.018,4.0,sad
Sigala;Talia Mar,Stay the Night,Stay the Night,77.0,171954.0,False,0.636,0.936,7.0,-2.65,0.0,0.0729,0.177,0.0,0.0879,0.415,124.034,4.0,edm
Sade,Diamond Life,Your Love Is King,65.0,219426.0,False,0.742,0.42,9.0,-6.797,1.0,0.031,0.562,4.12e-05,0.0402,0.594,134.624,3.0,british
The Beatles,Love,Hey Jude,66.0,238854.0,False,0.462,0.632,5.0,-7.438,1.0,0.0248,0.091,0.0,0.397,0.585,74.268,4.0,british
Heather Sommer,you heard me,you heard me,61.0,178686.0,False,0.665,0.582,6.0,-7.011,0.0,0.0324,0.163,0.0,0.108,0.344,137.027,4.0,edm
Big Pun;Fat Joe,Capital Punishment (Explicit Version),Twinz (feat. Fat Joe),67.0,228173.0,True,0.633,0.764,0.0,-7.212,1.0,0.323,0.32,3.4e-06,0.234,0.522,94.971,4.0,hardcore
